"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit/MegaBQ","Megabekerel","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1e+06,"1,000,000-fold of the derived unit becquerel",NA
"http://qudt.org/vocab/unit/MegaBQ-PER-KiloGM","Megabekerel per Kilogram","http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T-1D0",1e+06,"1,000,000-fold of the SI derived unit becquerel divided by the SI base unit kilogram",NA
"http://qudt.org/vocab/unit/MegaBTU_IT","Mega British Thermal Unit (international Definition)","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1055055852.62,NA,NA
"http://qudt.org/vocab/unit/MegaBTU_IT-PER-HR","Mega British Thermal Unit (international Definition) per Hour","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",293071.070172222,NA,NA
"http://qudt.org/vocab/unit/MegaBYTE","Megabyte","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",5545177.44447956,NA,"The megabyte is defined here as one million Bytes. Also, see unit:MebiBYTE."
"http://qudt.org/vocab/unit/MegaBYTE-PER-SEC","Megabyte per Second","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",5545177.44447956,"1,000,000-fold of the unit byte devided by the SI base unit second",NA
"http://qudt.org/vocab/unit/MegaC","Megacoulomb","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",1e+06,NA,"A MegaCoulomb is $10^{6} C$."
"http://qudt.org/vocab/unit/MegaC-PER-M2","Megacoulomb per Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T1D0",1e+06,"1 000 000-fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/MegaC-PER-M3","Megacoulomb per Cubic Meter","http://qudt.org/vocab/dimensionvector/A0E1L-3I0M0H0T1D0",1e+06,"1,000,000-fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3",NA
"http://qudt.org/vocab/unit/MegaCCY_USD","Mega Us Dollar","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e+06,NA,NA
"http://qudt.org/vocab/unit/MegaCCY_USD-PER-FLIGHT","Mega Us Dollar per Flight","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e+06,NA,NA
"http://qudt.org/vocab/unit/MegaCCY_USD-PER-YR","Mega Us Dollar per Year","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",0.031688087814029,NA,NA
"http://qudt.org/vocab/unit/MegaDOLLAR_US-PER-FLIGHT","Million Us Dollars per Flight","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0,NA,NA
"http://qudt.org/vocab/unit/MegaEV","Mega Electron Volt","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1.6021e-13,NA,"$\textit{Mega Electron Volt}$ is a unit for  'Energy And Work' expressed as $MeV$."
"http://qudt.org/vocab/unit/MegaEV-FemtoM","Mega Electron Volt Femtometer","http://qudt.org/vocab/dimensionvector/A0E0L3I0M1H0T-2D0",0,NA,"$\textit{Mega Electron Volt Femtometer}$ is a unit for  'Length Energy' expressed as $MeV fm$."
"http://qudt.org/vocab/unit/MegaEV-PER-CentiM","Mega Electron Volt per Centimeter","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",1.602176e-11,NA,"""Mega Electron Volt per Centimeter"" is a unit for  'Linear Energy Transfer' expressed as $MeV/cm$."
"http://qudt.org/vocab/unit/MegaEV-PER-SpeedOfLight","Mega Electron Volt per Speed of Light","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-1D0",0,NA,"""Mega Electron Volt per Speed of Light"" is a unit for  'Linear Momentum' expressed as $MeV/c$."
"http://qudt.org/vocab/unit/MegaFLOPS","Mega Floating Point Operations per Second","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1e+06,"1,000,000-fold of the unit floating point operations divided by the SI base unit second",NA
"http://qudt.org/vocab/unit/MegaGM","Megagramme","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1000,"1 000-fold of the SI base unit kilogram",NA
"http://qudt.org/vocab/unit/MegaGM-PER-HA","Megagram per Hectare","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",0.1,"1 000-fold of the SI base unit kilogram divided by the 10,000-fold of the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/MegaGM-PER-HA-YR","Megagram per Hectare Year","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0",3.16880878e-09,"Annual flux equivalent to 1000kg per hectare (10000 square meters) or one tonne per hectare per year, typically used to express a  crop yield.",NA
