"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/CCY_BRL",NA
"http://qudt.org/vocab/unit/CCY_BSD",NA
"http://qudt.org/vocab/unit/CCY_BTC",NA
"http://qudt.org/vocab/unit/CCY_BTN",NA
"http://qudt.org/vocab/unit/CCY_BWP",NA
"http://qudt.org/vocab/unit/CCY_BYN",NA
"http://qudt.org/vocab/unit/CCY_BZD",NA
"http://qudt.org/vocab/unit/CCY_CAD",NA
"http://qudt.org/vocab/unit/CCY_CDF",NA
"http://qudt.org/vocab/unit/CCY_CHE",NA
"http://qudt.org/vocab/unit/CCY_CHF",NA
"http://qudt.org/vocab/unit/CCY_CHF-PER-HA",NA
"http://qudt.org/vocab/unit/CCY_CHF-PER-KiloGM",NA
"http://qudt.org/vocab/unit/CCY_CHF-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_CHW",NA
"http://qudt.org/vocab/unit/CCY_CLF",NA
"http://qudt.org/vocab/unit/CCY_CLP",NA
"http://qudt.org/vocab/unit/CCY_CNY",NA
"http://qudt.org/vocab/unit/CCY_COP",NA
"http://qudt.org/vocab/unit/CCY_COU",NA
"http://qudt.org/vocab/unit/CCY_CRC",NA
"http://qudt.org/vocab/unit/CCY_CUP",NA
"http://qudt.org/vocab/unit/CCY_CVE",NA
"http://qudt.org/vocab/unit/CCY_CYP",NA
"http://qudt.org/vocab/unit/CCY_CZK",NA
"http://qudt.org/vocab/unit/CCY_CZK-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_DJF",NA
"http://qudt.org/vocab/unit/CCY_DKK",NA
"http://qudt.org/vocab/unit/CCY_DKK-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_DOP",NA
"http://qudt.org/vocab/unit/CCY_DZD",NA
"http://qudt.org/vocab/unit/CCY_EEK",NA
"http://qudt.org/vocab/unit/CCY_EGP",NA
"http://qudt.org/vocab/unit/CCY_ERN",NA
"http://qudt.org/vocab/unit/CCY_ETB",NA
"http://qudt.org/vocab/unit/CCY_ETH",NA
"http://qudt.org/vocab/unit/CCY_EUR",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-KiloW",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-M2",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-W",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-W-HR",NA
"http://qudt.org/vocab/unit/CCY_EUR-PER-W-SEC",NA
"http://qudt.org/vocab/unit/CCY_FJD",NA
"http://qudt.org/vocab/unit/CCY_FKP",NA
"http://qudt.org/vocab/unit/CCY_GBP",NA
"http://qudt.org/vocab/unit/CCY_GBP-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_GEL",NA
"http://qudt.org/vocab/unit/CCY_GHS",NA
"http://qudt.org/vocab/unit/CCY_GIP",NA
"http://qudt.org/vocab/unit/CCY_GMD",NA
