"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AreaPerCount","HydraulicPermeability","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/HydraulicPermeability"
"AreaPerCount","MacroscopicCrossSection","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/MacroscopicCrossSection"
"AreaPerCount","MacroscopicTotalCrossSection","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/MacroscopicTotalCrossSection"
"AreaPerCount","MigrationArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/MigrationArea"
"AreaPerCount","NozzleThroatCrossSectionalArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/NozzleThroatCrossSectionalArea"
"AreaPerCount","NuclearQuadrupoleMoment","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/NuclearQuadrupoleMoment"
"AreaPerCount","Slowing-DownArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/Slowing-DownArea"
"AreaPerCount","TotalCrossSection","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/TotalCrossSection"
"AreaPerCubicTime","AbsorbedDoseRate","A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/quantitykind/AreaPerCubicTime","http://qudt.org/vocab/quantitykind/AbsorbedDoseRate"
"AreaPerCubicTime","DoseEquivalentRate","A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/quantitykind/AreaPerCubicTime","http://qudt.org/vocab/quantitykind/DoseEquivalentRate"
"AreaPerCubicTime","ElectricalPowerToMassRatio","A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/quantitykind/AreaPerCubicTime","http://qudt.org/vocab/quantitykind/ElectricalPowerToMassRatio"
"AreaPerCubicTime","EquivalenceDoseOutput","A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0","http://qudt.org/vocab/quantitykind/AreaPerCubicTime","http://qudt.org/vocab/quantitykind/EquivalenceDoseOutput"
